Unnamed: 0,SN,DATE ADDED,REGION,CATEGORY
0,15020013,04/12/2023,Morogoro,Nontechnical
1,15020016,04/12/2023,Manyara,Nontechnical
2,15020028,04/12/2023,Dodoma,Nontechnical
3,15020030,04/12/2023,Dodoma,Nontechnical
4,15020035,04/12/2023,Dodoma,Nontechnical
5,17010091,04/12/2023,Dar es Salaam,
6,17020139,04/12/2023,Iringa,
7,17020141,04/12/2023,Iringa,Nontechnical
8,17020142,04/12/2023,Morogoro,
9,17020148,04/12/2023,Iringa,Nontechnical
10,17020151,04/12/2023,Iringa,
11,18040173,04/12/2023,Dodoma,
12,18040174,04/12/2023,Songwe,
13,18040178,04/12/2023,Dar es Salaam,Nontechnical
14,18040181,04/12/2023,Dar es Salaam,Nontechnical
15,18040190,04/12/2023,Njombe,
16,18040192,04/12/2023,Dar es Salaam,
17,18040195,04/12/2023,Dar es Salaam,Nontechnical
18,18040197,04/12/2023,Songwe,
19,18040203,04/12/2023,Songwe,Nontechnical
20,18040206,04/12/2023,Mbeya,
21,18040210,04/12/2023,Dar es Salaam,Nontechnical
22,18040214,04/12/2023,Songwe,Nontechnical
23,18040215,04/12/2023,Mbeya,
24,18040219,04/12/2023,Dar es Salaam,Technical
25,18040221,04/12/2023,Dar es Salaam,Nontechnical
26,18040226,04/12/2023,Mbeya,
27,18040232,04/12/2023,Dodoma,Nontechnical
28,18040233,04/12/2023,Dar es Salaam,Nontechnical
29,18040234,04/12/2023,Morogoro,Nontechnical
30,18040240,04/12/2023,Dar es Salaam,Nontechnical
31,18040245,04/12/2023,Ruvuma,
32,18040251,04/12/2023,Njombe,
33,18040254,04/12/2023,Iringa,
34,18040257,04/12/2023,Songwe,Nontechnical
35,18040273,04/12/2023,Songwe,Nontechnical
36,18040274,04/12/2023,Morogoro,Nontechnical
37,18040277,04/12/2023,Dodoma,Nontechnical
38,18040281,04/12/2023,Morogoro,Nontechnical
39,18040291,04/12/2023,Morogoro,Nontechnical
40,18040293,04/12/2023,Morogoro,Nontechnical
41,18040296,04/12/2023,Njombe,Nontechnical
42,18040298,04/12/2023,Morogoro,Nontechnical
43,18040301,04/12/2023,Dar es Salaam,Nontechnical
44,18040304,04/12/2023,Dar es Salaam,Technical
45,19060307,04/12/2023,Kilimanjaro,Nontechnical
46,19060315,04/12/2023,Dar es Salaam,Nontechnical
47,19060317,04/12/2023,Dar es Salaam,Nontechnical
48,19060322,04/12/2023,Dar es Salaam,Nontechnical
49,19060324,04/12/2023,Dar es Salaam,
50,19060326,04/12/2023,Dar es Salaam,Nontechnical
51,19060327,04/12/2023,Mtwara,Nontechnical
52,19060328,04/12/2023,Dar es Salaam,Nontechnical
53,19060334,04/12/2023,Morogoro,Nontechnical
54,19060345,04/12/2023,Mbeya,Nontechnical
55,19060347,04/12/2023,Ruvuma,Nontechnical
56,19060349,04/12/2023,Iringa,Nontechnical
57,19060356,04/12/2023,Dar es Salaam,Technical
58,19060358,04/12/2023,Iringa,Nontechnical
59,19060364,04/12/2023,Manyara,Nontechnical
60,19060382,04/12/2023,Mbeya,Nontechnical
61,19060390,04/12/2023,Dar es Salaam,Nontechnical
62,19060392,04/12/2023,Mwanza,Technical
63,19060409,04/12/2023,Pwani,Nontechnical
64,19060413,04/12/2023,Kagera,
65,19060415,04/12/2023,Dar es Salaam,Nontechnical
66,19060416,04/12/2023,Dodoma,Nontechnical
67,19060419,04/12/2023,Dodoma,Nontechnical
68,19060439,04/12/2023,Dar es Salaam,Nontechnical
69,19060447,04/12/2023,Rukwa,Nontechnical
70,19060450,04/12/2023,Kagera,
71,19060491,04/12/2023,Dar es Salaam,Nontechnical
72,19060496,04/12/2023,Shinyanga,Nontechnical
73,19060499,04/12/2023,Morogoro,Nontechnical
74,19060509,04/12/2023,Tanga,Nontechnical
75,19060535,04/12/2023,Mbeya,Nontechnical
76,19060551,04/12/2023,Mwanza,Nontechnical
77,19060555,04/12/2023,Tanga,Technical
78,19060557,04/12/2023,Mara,Technical
79,19060563,04/12/2023,Ruvuma,Nontechnical
80,19060571,04/12/2023,Kagera,Nontechnical
81,19060572,04/12/2023,Mwanza,Nontechnical
82,21050576,04/12/2023,Morogoro,Nontechnical
83,21050581,04/12/2023,Mwanza,
84,21050582,04/12/2023,Morogoro,Nontechnical
85,21050589,04/12/2023,Dar es Salaam,Nontechnical
86,21050591,04/12/2023,Dar es Salaam,Nontechnical
87,21050599,04/12/2023,Dar es Salaam,Nontechnical
88,21050610,04/12/2023,Mbeya,Nontechnical
89,21050615,04/12/2023,Kagera,Nontechnical
90,21050625,04/12/2023,Kagera,Nontechnical
91,21050645,04/12/2023,Iringa,Nontechnical
92,21050651,04/12/2023,Ruvuma,Nontechnical
93,21050653,04/12/2023,Mtwara,Nontechnical
94,21050654,04/12/2023,Kagera,Nontechnical
95,21050665,04/12/2023,Rukwa,Nontechnical
